,Heart Rate,Time
1042,74,02:05:19
1043,78,02:05:24
1044,71,02:05:29
1045,68,02:05:34
1046,70,02:05:39
1047,68,02:05:44
1048,69,02:05:49
1049,70,02:05:59
1050,71,02:06:09
1051,72,02:06:14
1052,70,02:06:29
1053,71,02:06:34
1054,73,02:06:44
1055,72,02:06:54
1056,73,02:06:59
1057,74,02:07:04
1058,75,02:07:14
1059,74,02:07:19
1060,74,02:07:34
1061,72,02:07:39
1062,71,02:07:44
1063,72,02:07:49
1064,74,02:07:56
1065,70,02:08:01
1066,71,02:08:06
1067,72,02:08:11
1068,73,02:08:16
1069,74,02:08:21
1070,77,02:08:26
1071,79,02:08:36
1072,77,02:08:41
1073,78,02:08:51
1074,76,02:08:56
1075,80,02:09:01
1076,73,02:09:06
1077,78,02:09:16
1078,77,02:09:21
1079,72,02:09:26
1080,75,02:09:31
1081,73,02:09:36
1082,74,02:09:41
1083,75,02:09:46
1084,76,02:09:56
1085,73,02:10:06
1086,74,02:10:11
1087,72,02:10:16
1088,71,02:10:21
1089,73,02:10:26
1090,71,02:10:31
1091,72,02:10:38
1092,73,02:10:43
1093,74,02:10:48
1094,77,02:10:53
1095,82,02:11:08
1096,78,02:11:13
1097,73,02:11:18
1098,70,02:11:23
1099,72,02:11:28
1100,77,02:11:33
1101,71,02:11:38
1102,73,02:11:43
1103,71,02:11:48
1104,72,02:11:53
1105,71,02:11:58
1106,72,02:12:08
1107,73,02:12:13
1108,72,02:12:18
1109,74,02:12:23
1110,77,02:12:28
1111,73,02:12:38
1112,74,02:12:43
1113,75,02:12:48
1114,70,02:12:53
1115,71,02:12:58
1116,72,02:13:03
1117,73,02:13:08
1118,76,02:13:14
1119,71,02:13:19
1120,72,02:13:24
1121,73,02:13:29
1122,75,02:13:44
1123,77,02:13:49
1124,72,02:13:54
1125,73,02:14:04
1126,76,02:14:09
1127,75,02:14:19
1128,78,02:14:29
1129,75,02:14:34
1130,73,02:14:39
1131,75,02:14:44
1132,69,02:14:49
1133,72,02:14:54
1134,74,02:14:59
1135,75,02:15:04
1136,71,02:15:09
1137,74,02:15:14
1138,76,02:15:19
1139,75,02:15:29
1140,73,02:15:34
1141,74,02:15:39
1142,75,02:15:44
1143,79,02:15:54
1144,74,02:15:59
1145,71,02:16:05
1146,74,02:16:10
1147,76,02:16:15
1148,79,02:16:20
1149,76,02:16:25
1150,75,02:16:30
1151,76,02:16:45
1152,75,02:16:55
1153,79,02:17:00
1154,75,02:17:05
1155,74,02:17:10
1156,75,02:17:20
1157,78,02:17:25
