,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
241,1.55965415215e+18,1.244329214,-1.602667212,-1.238644838
242,1.5596541524e+18,-0.1629193425,-1.129902601,-1.63539803
243,1.55965415265e+18,-1.701843977,2.180228472,2.229838133
244,1.5596541529e+18,-0.7000840902,2.039283991,3.362471342
245,1.55965415315e+18,1.034028053,-1.926490307,0.5480051637
246,1.5596541534e+18,-0.5722606182,1.796052814,-4.169938564
247,1.55965415365e+18,-2.3042171,2.468316555,1.252160549
248,1.5596541539e+18,-0.5402233005,2.774672031,3.560203314
249,1.55965415415e+18,-0.1864295751,0.7529171705,-0.9000236392
250,1.5596541544e+18,-1.219789982,-0.8448640704,-2.66826272
251,1.55965415465e+18,-2.664428234,1.816323996,-1.758991957
252,1.5596541549e+18,0.8186166286,1.390048504,3.912267923
253,1.55965415515e+18,-0.4625502825,0.7221200466,-0.5485208631
254,1.55965415539e+18,-1.042048335,-3.508056641,-2.681566954
255,1.55965415564e+18,-1.670801401,0.8246555924,-2.259043932
256,1.55965415589e+18,-1.20476532,1.21641171,2.172792435
257,1.55965415614e+18,-0.6301801801,1.646772265,1.814696193
258,1.55965415639e+18,-0.354919672,-2.297155857,-1.833554149
259,1.55965415664e+18,-0.8657224178,-1.02175951,-2.568605423
260,1.55965415689e+18,0.3512084782,0.23084867,2.055135489
261,1.55965415714e+18,-1.315387726,2.843649864,1.737704158
262,1.55965415739e+18,0.5921930075,0.5021902919,0.7737553716
263,1.55965415764e+18,-1.374215722,-0.9509570003,-4.205768108
264,1.55965415789e+18,-0.5722346306,0.4887858033,-0.231689617
265,1.55965415814e+18,0.3061033189,0.6656340957,4.174312592
266,1.55965415839e+18,-2.548633337,2.817991734,0.1708644927
267,1.55965415864e+18,-0.4960653782,0.6334832311,-0.8112989664
268,1.55965415889e+18,0.1919582486,-0.4584617317,-2.025410652
269,1.55965415914e+18,-0.3395460844,-0.05963858217,0.3459937871
270,1.55965415939e+18,-1.315777421,1.356393456,1.351278901
271,1.55965415964e+18,-1.258000135,1.91184926,1.003957987
272,1.55965415989e+18,1.371127725,-1.517810702,-1.022138238
273,1.55965416014e+18,-0.1566674113,-1.307030439,-2.167051315
274,1.55965416039e+18,0.005338412244,1.714378238,1.313476324
275,1.55965416064e+18,-0.7061867118,3.109991789,2.808775663
276,1.55965416089e+18,-0.3642337918,0.8552788496,-1.14171946
277,1.55965416114e+18,1.323305726,-3.887579203,-1.703030586
278,1.55965416138e+18,-0.6076693535,-0.5164075494,-1.347260833
279,1.55965416163e+18,0.2866541147,0.8518105149,2.48592639
280,1.55965416188e+18,0.9744027853,-0.5855421424,1.792861819
281,1.55965416213e+18,1.183526397,-1.425329447,-0.9276860356
282,1.55965416238e+18,0.1614318341,-1.22862792,-1.662528515
283,1.55965416263e+18,-0.08292164654,0.2019288391,-0.360669136
284,1.55965416288e+18,-0.5007438064,2.048660755,2.27802372
285,1.55965416313e+18,0.09239175916,0.9605363011,0.07085800171
286,1.55965416338e+18,-0.8052901626,-1.509313822,-2.04622674
287,1.55965416363e+18,-0.9421542287,1.08313334,-1.047046304
288,1.55965416388e+18,0.5387579203,0.6626355052,2.307665586
289,1.55965416413e+18,-0.07981444895,0.2387297004,1.040633559
290,1.55965416438e+18,-0.7079322338,-0.8844292164,-2.583579063
291,1.55965416463e+18,-0.927947402,0.3524992168,-1.097757816
292,1.55965416488e+18,-0.6849098206,0.9671944976,2.421046257
293,1.55965416513e+18,-2.22034359,2.934421539,-0.6460177898
294,1.55965416538e+18,-1.588109851,2.833952904,1.5851897
295,1.55965416563e+18,1.822713852,-1.712124109,-0.6094204783
296,1.55965416588e+18,-0.601239562,-0.1197620183,-2.027083635
297,1.55965416613e+18,-1.185626268,-0.1511217803,0.7333697081
298,1.55965416638e+18,-1.592333794,1.813763738,0.5183740258
299,1.55965416663e+18,-1.774092555,1.953089356,2.118698597
300,1.55965416688e+18,2.104317188,-2.651446342,-0.324401468
301,1.55965416713e+18,-0.3250862956,-0.6137139201,-2.734554768
302,1.55965416738e+18,-1.843654394,1.017274618,1.288493633
303,1.55965416762e+18,-1.425138593,1.71670258,3.116105795
304,1.55965416787e+18,1.286299944,-0.1601952463,-0.7422784567
305,1.55965416812e+18,-0.3071066439,-0.7254894972,-3.288077354
306,1.55965416837e+18,-1.67332375,2.479405403,-0.794901371
307,1.55965416862e+18,-0.6484564543,1.804550409,2.950146675
308,1.55965416887e+18,0.426358372,0.9086880684,-0.315880239
309,1.55965416912e+18,0.5192462802,-3.005917788,-2.323236465
310,1.55965416937e+18,-0.4203814268,-0.8906227946,-1.189682484
311,1.55965416962e+18,0.176846683,0.8778721094,2.37161994
312,1.55965416987e+18,-0.04146345705,0.6902065873,1.827006936
313,1.55965417012e+18,1.046395779,-3.231149435,-1.289686084
314,1.55965417037e+18,-0.1153379157,-1.276733518,-1.59801054
315,1.55965417062e+18,0.4644201994,0.5605835915,1.601353645
316,1.55965417087e+18,0.3661633134,1.671663046,2.662218571
317,1.55965417112e+18,1.021972537,-0.5165611506,-0.671119988
318,1.55965417137e+18,-0.3569321036,-1.434035182,-1.908231735
319,1.55965417162e+18,-0.1371256858,-0.1880879104,0.08797827363
320,1.55965417187e+18,-0.2822752595,1.389561415,0.6809093356
321,1.55965417212e+18,-0.3185989857,2.309862375,1.262443304
322,1.55965417237e+18,0.02515194938,1.644160509,0.5079692602
323,1.55965417262e+18,-0.3844154775,-2.045987368,-2.946981907
324,1.55965417287e+18,-0.2687361836,-0.1572890282,-0.4638927579
325,1.55965417312e+18,-0.6081287861,0.728859961,2.849014282
326,1.55965417337e+18,-2.492359161,3.554996252,0.4525532424
327,1.55965417362e+18,0.4832080305,1.165421367,0.9849597216
328,1.55965417386e+18,0.3277359605,-1.827790618,-2.602765083
329,1.55965417411e+18,-0.1199958473,-0.5399364829,-0.8857297301
330,1.55965417436e+18,-1.105702877,0.5846633315,2.605494022
331,1.55965417461e+18,-1.368479729,1.240728974,3.108271599
332,1.55965417486e+18,1.313199401,-2.065144777,-0.5504781008
333,1.55965417511e+18,0.2364179343,-1.330246925,-2.700805426
334,1.55965417536e+18,-0.3910562992,0.824321568,1.805939078
335,1.55965417561e+18,-1.099541783,2.89575696,3.497557163
336,1.55965417586e+18,0.3876255751,-0.3881700635,-0.1934753656
337,1.55965417611e+18,-0.7614969611,-2.076199293,-3.748057365
338,1.55965417636e+18,0.04477821663,-1.028404117,-1.40293014
339,1.55965417661e+18,-0.003482842352,1.035581589,2.977694035
340,1.55965417686e+18,1.465283751,-1.801424384,2.118644238
341,1.55965417711e+18,-0.159599483,-4.316329002,-1.574531794
342,1.55965417736e+18,-0.7614301443,-2.370981932,-3.06009078
343,1.55965417761e+18,-0.01106767636,3.06491518,2.323202372
344,1.55965417786e+18,-0.3933812082,1.50989151,2.124642849
345,1.55965417811e+18,0.9631866813,-3.202533007,-0.7814511657
346,1.55965417836e+18,-1.342506766,-0.72218889,-2.390437126
347,1.55965417861e+18,0.4665001333,0.9151893258,2.005479574
348,1.55965417886e+18,0.2272289395,1.690429211,2.171694517
349,1.55965417911e+18,1.725862384,-1.105726242,-0.1795895249
350,1.55965417936e+18,-0.3044705689,0.8584166169,-3.494166613
351,1.55965417961e+18,-0.1481577307,-0.7708303332,-0.4505582154
352,1.55965417985e+18,-0.9684983492,1.81955564,2.756055117
353,1.5596541801e+18,-2.917697906,1.538526416,0.5522110462
354,1.55965418035e+18,-0.9111070633,0.7030355334,0.9671798348
355,1.5596541806e+18,0.5704345703,-0.7706121206,-2.155439854
356,1.55965418085e+18,-0.6528141499,-0.2533354461,-0.8108024001
357,1.5596541811e+18,0.05026859045,0.400533855,2.110258341
358,1.55965418135e+18,-1.863716245,2.576789856,1.931372643
359,1.5596541816e+18,1.81001699,-0.7267382741,1.040479422
360,1.55965418185e+18,-0.2908710539,-0.04102777317,-2.637773991
361,1.5596541821e+18,-1.59297812,2.044789791,0.3373787999
362,1.55965418235e+18,-2.63482213,3.69000411,2.019897938
363,1.5596541826e+18,0.6553465128,-0.1712651998,0.4247822165
364,1.55965418285e+18,0.3140355647,-2.671590805,-2.848059893
365,1.5596541831e+18,-0.5672861338,-0.6210033298,-2.098833084
366,1.55965418335e+18,-0.05418662727,0.4968267977,3.656802893
367,1.5596541836e+18,0.01870785654,1.439485788,1.073729277
368,1.55965418385e+18,1.729165554,-4.245449543,-2.006779909
369,1.5596541841e+18,0.7916064858,-2.047525883,-2.19183588
370,1.55965418435e+18,0.08316506445,0.03992658854,2.452939034
371,1.5596541846e+18,0.05811090767,0.5722818971,3.60294795
372,1.55965418485e+18,1.236104727,-1.501389384,-0.8395492435
373,1.5596541851e+18,-0.4875512719,-0.7765321732,-3.039224625
374,1.55965418535e+18,-1.372965693,1.9579494,-0.88385427
375,1.5596541856e+18,-1.74022305,2.67794013,3.438047171
376,1.55965418584e+18,-0.06684723496,1.360753655,0.8552944064
377,1.55965418609e+18,1.652834773,-1.193546176,-3.340255022
378,1.55965418634e+18,0.1160893068,-0.4415532649,-1.668809295
379,1.55965418659e+18,0.8446941972,-0.5812631249,3.513810396
380,1.55965418684e+18,-1.09896481,1.885645986,0.8595125675
381,1.55965418709e+18,-1.676814556,2.677631617,0.05140383914
382,1.55965418734e+18,0.7583156228,-1.558685422,-1.275893211
383,1.55965418759e+18,0.2333341837,-0.1521027386,-1.754905462
384,1.55965418784e+18,-1.306844234,0.6877402663,1.097038865
385,1.55965418809e+18,-1.981857538,4.213120461,0.1529777348
386,1.55965418834e+18,-0.2297266126,2.500201702,1.184527636
387,1.55965418859e+18,0.3138969541,-1.365889549,-1.824077368
388,1.55965418884e+18,0.2292476594,-0.7283760905,-1.008851528
389,1.55965418909e+18,-0.4720035195,1.082342267,2.253054142
390,1.55965418934e+18,-1.170594931,2.134006977,1.953667879
391,1.55965418959e+18,1.995003104,-2.496777296,-0.1560122073
392,1.55965418984e+18,-0.5541577935,0.5197196007,-3.728117466
393,1.55965419009e+18,0.009746213444,1.451078653,2.991025686
394,1.55965419034e+18,-0.6176797748,2.224095345,2.768963575
395,1.55965419059e+18,0.5487661362,0.005222979933,-1.00191474
396,1.55965419084e+18,-1.480746508,-0.8093006015,-3.278506279
397,1.55965419109e+18,-0.5546168685,0.05767372623,-0.4434219301
398,1.55965419134e+18,-0.5788453817,2.299035311,3.248747826
399,1.55965419159e+18,-0.7748161554,0.6107774377,-0.6523284912
400,1.55965419184e+18,-0.828825295,-1.751481295,-2.875289917
401,1.55965419208e+18,-0.9651901722,0.0827126503,-1.499076962
402,1.55965419233e+18,0.6300466657,0.5212056041,2.802579403
403,1.55965419258e+18,-1.288430095,1.47327292,1.666249037
404,1.55965419283e+18,0.3391824663,-1.843968034,-2.14006114
405,1.55965419308e+18,-0.1030615941,-0.4605618715,-2.437797308
406,1.55965419333e+18,0.07086289674,0.5342652798,2.390636444
407,1.55965419358e+18,-0.215044409,1.345375299,3.221858978
408,1.55965419383e+18,0.176941976,0.4416251481,-0.216827333
409,1.55965419408e+18,-1.744836569,-1.992475867,-4.936066628
410,1.55965419433e+18,0.1846111119,-0.2751230299,-0.710819304
411,1.55965419458e+18,-0.9574932456,0.1743170768,2.121083021
412,1.55965419483e+18,-3.220907927,4.875317574,-0.7742989659
413,1.55965419508e+18,-1.823830843,1.985532403,1.519819975
414,1.55965419533e+18,0.3553231657,-0.4726945758,-1.897501469
415,1.55965419558e+18,0.7002924681,-0.9115331173,-0.995192647
416,1.55965419583e+18,-2.194181442,0.963436842,2.049252033
417,1.55965419608e+18,-1.466501713,1.993625879,0.906607151
418,1.55965419633e+18,0.4386475384,-0.2080787718,0.4900068641
419,1.55965419658e+18,-1.627573371,-1.289269686,-3.561836481
420,1.55965419683e+18,-1.455742121,1.637638092,0.01592846774
421,1.55965419708e+18,0.4195097685,2.243180275,3.657408476
422,1.55965419733e+18,-0.2131125778,0.7157108784,-0.7299496531
423,1.55965419758e+18,-0.227963686,-1.995613694,-3.174999952
424,1.55965419783e+18,-0.1555675417,-0.8070856333,-1.202565074
425,1.55965419807e+18,0.4750423133,-0.1727927476,2.914277077
426,1.55965419832e+18,-0.484652698,1.533744454,1.826094508
427,1.55965419857e+18,1.35614562,-3.652342319,-1.435807943
428,1.55965419882e+18,-0.1091471314,-1.159284592,-2.547249794
429,1.55965419907e+18,-0.1586609185,0.1528383642,3.006364822
430,1.55965419932e+18,-0.07988303155,1.138451815,3.513458729
431,1.55965419957e+18,2.07005477,-2.367535591,-0.3856082261
432,1.55965419982e+18,-0.4784317911,-0.03757382184,-3.028711557
433,1.55965420007e+18,-1.609766006,1.992056131,1.160394311
434,1.55965420032e+18,-0.6175781488,1.9347893,3.168333769
435,1.55965420057e+18,0.2070362419,1.055568933,0.09602349997
436,1.55965420082e+18,-1.176583648,-1.672390699,-3.846336603
437,1.55965420107e+18,-0.6358929873,-0.5270242691,-1.175965071
438,1.55965420132e+18,0.7382228971,0.1703294814,1.229257703
439,1.55965420157e+18,-2.062125444,2.556828976,1.562016606
440,1.55965420182e+18,-0.08083816618,1.90160203,1.032263994
441,1.55965420207e+18,0.3438927531,-2.054298878,-3.461505651
442,1.55965420232e+18,0.9307119846,-0.5301901698,-0.5952575207
443,1.55965420257e+18,-0.6907764077,0.6933579445,1.457173944
444,1.55965420282e+18,-2.667811394,3.704566479,-0.2137705535
445,1.55965420307e+18,0.3713265657,1.778046489,1.722190022
446,1.55965420332e+18,0.6009770632,0.9116250277,-1.797698855
447,1.55965420357e+18,0.8109152317,-1.123759031,-1.537865162
448,1.55965420382e+18,-1.994961023,0.2863135934,0.7472441196
449,1.55965420406e+18,0.214391768,2.656296968,3.198949099
450,1.55965420431e+18,0.1151423603,1.099767089,-0.8293527961
451,1.55965420456e+18,-0.3346063793,-1.796164393,-3.705518246
452,1.55965420481e+18,0.1681396067,-0.3536922932,-0.2181898057
453,1.55965420506e+18,1.461005092,0.6329837441,3.769809484
454,1.55965420531e+18,-0.5747874975,1.441086292,1.859827042
455,1.55965420556e+18,1.316598177,-1.959506392,-1.388571024
456,1.55965420581e+18,-0.8683297038,-0.1031730622,-2.891322613
457,1.55965420606e+18,-0.4412807524,1.970368028,1.956532359
458,1.55965420631e+18,-1.582829952,2.275172949,1.772180438
