"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.385279821E1,-1.047789585E-3,2.723746002E-5,-1.250422560E-3
8.410237121E1,6.470833905E-4,3.611240536E-4,1.336568967E-4
8.435194421E1,-5.543897860E-4,6.511891261E-4,-2.127727494E-4
8.460148621E1,1.013157424E-3,1.514525153E-3,-4.903171211E-4
8.485107421E1,1.756371930E-4,4.034209996E-4,-3.629755229E-4
8.510064721E1,-8.829049766E-4,-1.349032857E-3,2.691429108E-5
8.535018921E1,-7.607629523E-4,-1.157669351E-3,1.024147496E-4
8.559976221E1,6.832485087E-4,-3.371229395E-4,-4.977015778E-4
8.584932388E1,3.772131167E-4,1.618396491E-4,4.991516471E-4
8.609889688E1,1.813256647E-3,6.183553487E-4,7.919445634E-4
8.634843888E1,3.461218439E-4,-7.126666605E-5,6.052553654E-4
8.659801188E1,9.237262420E-4,1.685386524E-3,7.460592315E-4
8.684759133E1,7.219370455E-4,8.815741166E-4,-8.981581777E-5
8.709716433E1,-4.094401374E-4,-1.036362723E-3,-1.061183400E-3
8.734670633E1,1.340589020E-3,-1.857668161E-3,-6.594248116E-4
8.759627933E1,-1.126000192E-3,1.848284155E-3,-5.910191685E-4
8.784583933E1,6.852163933E-4,-3.055548295E-4,-1.218055375E-3
8.809541233E1,-2.181460150E-4,-1.311196946E-3,-5.419459194E-5
8.834495433E1,-5.363724194E-4,5.928315222E-4,4.457440227E-4
8.859452733E1,-4.433328286E-4,2.786042169E-4,1.139023341E-3
8.884409563E1,3.658267669E-4,-1.416910440E-3,-1.676660031E-4
8.909366862E1,1.054530032E-3,4.383176565E-5,5.024913698E-4
8.934321063E1,-1.936342102E-3,-6.431359798E-4,1.107908785E-3
8.959278363E1,9.094877169E-5,1.305909827E-4,3.338074312E-4
8.984234158E1,4.189424217E-4,-2.777827904E-4,-9.646238759E-4
9.009191458E1,3.213658929E-4,8.018873632E-5,1.078335568E-3
9.034145658E1,-6.396477111E-4,-1.252860762E-3,-4.321113229E-4
9.059102958E1,-1.837487333E-3,-2.075415105E-4,3.770617768E-4
9.084059900E1,-2.538831905E-4,-1.829902641E-3,1.295216382E-3
9.109014100E1,-1.693225466E-3,-2.381178550E-3,-3.585685045E-4
9.133971400E1,7.499731146E-4,-1.558996737E-4,1.714983955E-3
9.158928700E1,1.202649437E-4,-2.246000804E-3,-2.643400803E-4
9.183886008E1,-6.818072870E-5,-1.516711898E-3,1.351463608E-3
9.208840308E1,-5.082129501E-4,5.111983046E-4,3.951722756E-4
9.233797508E1,8.783354424E-4,3.002341837E-4,-4.771780223E-4
9.258754808E1,8.570589125E-4,-3.310907632E-4,8.707866073E-7
9.283713246E1,7.777661085E-5,1.234626397E-4,-3.361292183E-4
9.308667446E1,1.110043842E-3,2.647005022E-4,-6.639109924E-4
9.333624746E1,-8.708210662E-4,-1.484871842E-3,1.178747974E-3
9.358582046E1,1.757619902E-4,1.328401268E-4,3.062849864E-4
9.383538125E1,-1.164433546E-3,-2.958951518E-4,-9.562736377E-4
9.408492425E1,-4.370235838E-4,-1.215503551E-3,1.772157848E-4
