,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-04 13:00:22.049999,-0.986973231889,-6.56456936064,6.34536023967,1021.8243166,1.82359047068,-0.688816385144,-0.795040653787,-1.39999995641,31.1999997033,-22.646666158,-2.54801060804,-5.6432775379,6.34866015081,104.25,1,0,0,0,-0.00244311092147,-0.263340813959,0.144137950772,0.0970992954393,0.11287034979,0.205485184727,-0.238859269922
2019-06-04 13:00:22.549999,-4.20338886346,-10.4083914573,4.99373909181,1021.7151368,-0.50510929229,1.39012765286,-0.935770404086,-9.72749965622,29.7749989025,-29.0774989125,-4.45990464062,-5.05327042962,-4.56999182638,104.3,1,0,0,0,-0.0174451658654,-0.190112180737,0.249420410383,-0.327020288403,0.0390681080702,0.225245077692,0.0645977491874
2019-06-04 13:00:23.049999,0.484175454864,-1.16468174905,1.25779245956,1021.6458008,-1.14087061087,2.27937786457,-0.8209006257,-10.7774996433,21.5249995,-36.3224990375,-3.41355446005,5.5146617437,-3.59468215663,104.35,1,0,0,0,0.00173871296006,0.0176057784954,0.296687185979,-0.161380882438,-0.128616855445,0.267129287745,0.062925186542
2019-06-04 13:00:23.549999,-5.07418663908,-8.8152410265,9.7018409727,1021.7307618,-0.42239803958,-0.888155317451,0.4826586844,4.15333324044,13.7066660989,-40.4933327578,-2.24160952033,-10.3661022174,-4.88497034687,104.4,1,0,0,0,-0.183601335921,-0.062918976129,0.277013808192,-0.228006749226,0.320307153439,0.116282874253,0.0887838175063
2019-06-04 13:00:24.049999,-3.11710640167,-9.13104591974,3.76763083418,1021.870117,1.33035752754,-0.79066124566,1.9558823824,-0.6825000495,25.2449990525,-35.4449989787,-1.9852226378,-7.99251294162,-5.05564743313,104.45,1,0,0,0,-0.0448888803368,-0.200849698633,0.142095717565,-0.0535728395578,0.322994023717,0.198727013593,0.0506702121116
2019-06-04 13:00:24.549999,-2.42194192826,0.0377762847444,8.26477054656,1021.8413088,-1.58849917843,1.00993194183,0.3918026486,-17.4374997613,14.5499996547,-38.1299986838,-1.57920575137,-2.22646106786,-8.474262773,104.5,1,0,0,0,0.0394160960706,0.131961479919,0.272397719612,-0.239632725797,0.0865570920833,0.160841794116,0.12736543814
2019-06-04 13:00:25.049999,-1.16122324769,-11.060591763,6.7075608619,1021.7421874,1.896690762,0.0209343656,-0.11537839465,-6.200000021,23.7333330186,-36.3933321633,-5.64977232652,-6.02904642978,2.19052102835,104.55,1,0,0,0,-0.0147722028571,-0.236003956732,0.24111752078,-0.0373991288509,0.272594509185,0.208971161222,-0.154912044016
2019-06-04 13:00:25.549999,0.475263525701,-6.34411004066,2.21374646521,1021.8018556,-1.72005911472,-0.595123290347,0.36427297011,-6.08249988724,16.9949997075,-38.0174992087,-0.40756499775,-9.66101205303,-5.09128999728,104.6,1,0,0,0,0.00693799189815,-0.00326936447852,0.199540508496,-0.245986144069,0.178939273728,0.203225915042,0.184710094668
2019-06-04 13:00:26.049999,-4.53262830747,-4.80557557638,7.76942178956,1021.7850096,-1.20053172114,-1.05825414922,0.6795201898,-7.35749998022,24.2099998,-37.2299993037,0.450003057763,0.81832714025,0.743833899475,104.65,1,0,0,0,-0.0418361373424,-0.0813836169216,0.292351328803,-0.0474149198043,0.131498253823,0.0621928442544,0.00899796680143
2019-06-04 13:00:26.549999,-3.11830351358,-8.2164327848,4.4942932593,1021.902832,1.74525730027,-0.06299858087,1.53114775716,-12.2466663796,34.91333241,-23.7999997667,-2.79197692886,-6.14722471761,-1.61230068789,104.7,1,0,0,0,0.0718114820551,-0.279827239316,0.101510828937,-0.00205619595195,0.218029079575,0.252343080348,-0.0671573088707
