,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
172,1.55965372676e+18,52.33575687,4.868235933,6.934719086,1.129999995,4.21875,10.0,10.0
173,1.55965372776e+18,52.33577007,4.868232831,6.916347504,1.129999995,10.546875,10.0,10.0
174,1.55965372876e+18,52.3357839,4.868233334,7.041225433,1.179999948,3.1640625,10.0,10.0
175,1.55965372976e+18,52.33579522,4.868234927,6.907314301,1.179999948,12.65625,10.0,10.0
176,1.55965373076e+18,52.33580842,4.868239537,6.757656097,1.429999948,12.3046875,10.0,10.0
177,1.55965373176e+18,52.33582351,4.868244147,6.622890472,1.429999948,13.0078125,10.0,10.0
178,1.55965373276e+18,52.3358396,4.868248757,6.643215179,1.429999948,5.9765625,10.0,10.0
179,1.55965373376e+18,52.33585427,4.868252026,6.395412445,1.419999957,2.8125,10.0,10.0
180,1.55965373476e+18,52.3358712,4.86825102,6.285366058,1.570000052,350.859375,10.0,10.0
181,1.55965373576e+18,52.33588981,4.868249176,6.564174652,1.580000043,2.109375,10.0,10.0
182,1.55965373676e+18,52.33590674,4.868246326,6.001918793,1.590000033,1.40625,10.0,10.0
183,1.55965373776e+18,52.33592237,4.868248589,5.964870453,1.580000043,6.328125,10.0,10.0
184,1.55965373876e+18,52.33593813,4.868253954,6.009609222,1.529999971,11.953125,10.0,10.0
185,1.55965373976e+18,52.3359536,4.868258731,6.034877777,1.5,13.0078125,10.0,10.0
186,1.55965374076e+18,52.33596831,4.868263006,6.356838226,1.559999943,5.9765625,10.0,10.0
187,1.55965374176e+18,52.33598184,4.868265856,6.312221527,1.559999943,6.328125,10.0,10.0
188,1.55965374276e+18,52.33599588,4.868264683,5.945156097,1.299999952,20.7421875,10.0,10.0
189,1.55965374376e+18,52.33601105,4.868262587,5.833034515,1.299999952,11.25,10.0,10.0
190,1.55965374476e+18,52.33603008,4.868260156,5.876796722,1.429999948,7.03125,10.0,10.0
191,1.55965374576e+18,52.33604819,4.86825496,5.795192719,1.559999943,1.40625,10.0,10.0
192,1.55965374676e+18,52.33606235,4.868249176,6.03811264,1.559999943,14.765625,10.0,10.0
193,1.55965374776e+18,52.33607325,4.868246578,6.12191391,1.169999957,24.9609375,10.0,10.0
194,1.55965374876e+18,52.33608758,4.86824465,6.195522308,1.169999957,12.65625,10.0,10.0
195,1.55965374976e+18,52.33609898,4.868241884,5.975734711,0.9399999976,26.015625,10.0,10.0
196,1.55965375076e+18,52.3361077,4.868236687,5.923366547,0.6399999857,22.5,10.0,10.0
197,1.55965375176e+18,52.33611692,4.868237777,5.798061371,1.090000033,36.9140625,10.0,10.0
198,1.55965375276e+18,52.3361289,4.868244482,5.721157074,1.090000033,39.0234375,10.0,10.0
199,1.55965375376e+18,52.33614022,4.868252026,5.775234222,1.360000014,41.8359375,10.0,10.0
200,1.55965375476e+18,52.33615011,4.86825739,5.871059418,1.360000014,39.7265625,10.0,10.0
201,1.55965375576e+18,52.33615623,4.868256804,5.901821136,0.4499999881,22.1484375,10.0,10.0
202,1.55965375676e+18,52.33616583,4.86825672,5.974391937,1.440000057,25.6640625,10.0,10.0
203,1.55965375776e+18,52.33618217,4.868256971,6.156703949,1.440000057,15.46875,10.0,10.0
204,1.55965375876e+18,52.33619768,4.868256636,6.135951996,1.529999971,1.0546875,10.0,10.0
205,1.55965375976e+18,52.33621159,4.868254876,6.295986176,1.529999971,0.703125,10.0,10.0
206,1.55965376076e+18,52.336225,4.868250182,6.460659027,1.419999957,351.5625,10.0,10.0
207,1.55965376176e+18,52.33623975,4.868248506,6.576931,1.649999976,6.6796875,10.0,10.0
208,1.55965376276e+18,52.33625388,4.868251942,6.500087738,1.419999957,33.75,10.0,10.0
209,1.55965376376e+18,52.33626528,4.868262252,6.554164886,1.519999981,32.34375,10.0,10.0
210,1.55965376476e+18,52.33627571,4.868271472,6.69234848,1.179999948,18.28125,10.0,10.0
