,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
662,1.55965379582e+18,-0.6186634827,-1.345701599,14.48388062
663,1.55965379622e+18,0.9536668396,2.311942291,11.17456238
664,1.55965379662e+18,-1.004561005,3.283871155,4.504283295
665,1.55965379702e+18,-1.073417816,-0.1193019104,9.153465271
666,1.55965379742e+18,0.9627978516,-1.922302551,16.03270981
667,1.55965379782e+18,1.970352631,0.675844574,7.270680542
668,1.55965379823e+18,-0.9446855164,2.512525177,4.1432341
669,1.55965379863e+18,-1.726060638,0.1908531189,7.922724609
670,1.55965379903e+18,-1.031504974,-2.527044983,11.95893127
671,1.55965379943e+18,-1.382225647,2.441572723,14.61366074
672,1.55965379983e+18,-0.5411247253,3.476221161,7.2486763
673,1.55965380023e+18,-0.2396516418,1.191821594,5.719456329
674,1.55965380063e+18,-0.256716156,0.1667532349,9.40628952
675,1.55965380103e+18,-0.4840933228,2.727328491,13.82599869
676,1.55965380144e+18,-0.7981402588,1.216370544,7.538473663
677,1.55965380184e+18,-1.118324432,0.7032376099,6.018235016
678,1.55965380224e+18,-3.60390564,-0.5261558533,11.16483261
679,1.55965380264e+18,-1.845362549,2.771336975,14.60183533
680,1.55965380304e+18,-0.8051756287,4.209246826,5.150040436
681,1.55965380344e+18,-0.03308120728,1.730700989,4.957241364
682,1.55965380384e+18,0.2830613708,0.8192463684,8.97458725
683,1.55965380424e+18,-5.134622498,6.054459686,13.59233459
684,1.55965380465e+18,-2.044448547,3.440146179,9.289083252
685,1.55965380505e+18,-0.9675878906,1.802102509,4.371958466
686,1.55965380545e+18,-3.22474411,2.053130493,7.182813263
687,1.55965380585e+18,-0.9063652039,5.380112,14.41682007
688,1.55965380625e+18,-1.254541168,2.554737396,10.7747438
689,1.55965380665e+18,0.5822891235,2.068548431,4.125570831
690,1.55965380705e+18,-0.1963916016,-0.1730401611,8.696166229
691,1.55965380745e+18,-2.686313782,-2.364932098,15.90816879
692,1.55965380786e+18,-2.579735413,1.86272644,11.19911133
693,1.55965380826e+18,-0.632434845,1.651815033,5.640420685
694,1.55965380866e+18,-2.399360504,-0.1466949463,9.486971741
695,1.55965380906e+18,-1.272354126,2.928959198,13.16976334
696,1.55965380946e+18,-1.858684845,2.079475708,10.65214874
697,1.55965380986e+18,-0.1371148682,2.539618835,4.849914551
698,1.55965381026e+18,-0.2933898926,2.731968842,8.158035278
699,1.55965381066e+18,-1.611099701,6.519991608,11.83708466
700,1.55965381107e+18,0.07349716187,4.589156799,10.04126907
701,1.55965381147e+18,0.6351292419,2.411634979,4.290527802
702,1.55965381187e+18,-0.2671943665,3.244203644,6.774163055
703,1.55965381227e+18,-1.295705566,4.732259216,14.57084976
704,1.55965381267e+18,-0.240100708,2.149080963,11.07636658
705,1.55965381307e+18,0.6677613831,2.158062286,4.138444061
706,1.55965381347e+18,-0.2754272461,0.01362167358,8.177494812
707,1.55965381387e+18,-4.065695343,-0.6339317322,15.64381851
708,1.55965381428e+18,0.938997345,1.699116669,11.32260452
709,1.55965381468e+18,0.3439846802,1.678609314,6.606960754
710,1.55965381508e+18,-0.4161346436,2.090702362,6.873706055
711,1.55965381548e+18,0.2484832764,1.26247467,12.23136475
712,1.55965381588e+18,-1.940414886,1.629361725,14.02313873
713,1.55965381628e+18,-0.8146060181,2.478096771,6.670279083
714,1.55965381668e+18,-0.246537323,0.5631289673,5.81061676
715,1.55965381708e+18,-2.772384796,-0.5529501343,10.26774811
716,1.55965381749e+18,-2.254312134,4.062252502,14.07987076
717,1.55965381789e+18,-1.293011169,3.773952026,5.516628113
718,1.55965381829e+18,-0.2255809021,0.7298822021,4.579127655
719,1.55965381869e+18,0.2941383362,-0.4715194702,6.928342438
720,1.55965381909e+18,-2.872676239,4.929249573,12.87128403
721,1.55965381949e+18,-0.9485774231,1.985770569,10.67340454
722,1.55965381989e+18,0.004790039062,0.8391549683,4.82192276
723,1.5596538203e+18,-1.899250488,0.8638536072,7.937394104
724,1.5596538207e+18,-2.211201782,3.195255432,15.58798462
725,1.5596538211e+18,-1.048569489,2.840343475,12.12463669
726,1.5596538215e+18,0.4382885742,2.181413727,4.735103302
727,1.5596538219e+18,0.4592449951,-1.002465363,8.061036987
728,1.5596538223e+18,-3.862268372,-0.4180805969,15.41614197
729,1.5596538227e+18,-0.7014413452,4.15146698,11.70281387
730,1.5596538231e+18,-0.7210505676,3.204536133,5.190755768
731,1.55965382351e+18,0.2014810181,1.831740875,5.710475006
732,1.55965382391e+18,-0.01901046753,0.2519261169,9.701325989
733,1.55965382431e+18,-2.876867523,3.250939636,13.24176361
734,1.55965382471e+18,-1.618584137,2.640059967,7.459138641
735,1.55965382511e+18,-0.1586700439,0.1511856079,7.38324646
736,1.55965382551e+18,-2.318378906,1.224902802,8.08528656
737,1.55965382591e+18,-1.065035248,7.14808548,14.39466614
738,1.55965382631e+18,-0.6444099426,4.059408417,8.319100342
739,1.55965382672e+18,0.001347198486,1.155447235,4.322561188
740,1.55965382712e+18,0.8345146179,0.9463320923,7.897427216
741,1.55965382752e+18,-3.200943604,4.061204681,12.84793259
742,1.55965382792e+18,-2.552941132,2.781964874,9.774823151
743,1.55965382832e+18,-0.5935157776,1.296004944,5.919141083
744,1.55965382872e+18,-2.78600647,1.487606506,8.022417297
745,1.55965382912e+18,-3.388054504,4.867727509,14.08451111
746,1.55965382953e+18,-2.09100174,2.721490631,11.04074066
747,1.55965382993e+18,-0.06840774536,1.422342224,5.26425293
748,1.55965383033e+18,-0.3608995056,0.4502636719,7.554640045
749,1.55965383073e+18,-4.766388245,4.157005463,13.38890762
750,1.55965383113e+18,-1.872905273,2.779719543,12.0688028
751,1.55965383153e+18,-0.4845423889,2.320474548,4.599934387
