"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.134736758E2,5.209894246E1,5.133284619E0,6.828269958E-1,3.839999914E0,2.320312500E1,1.000000000E1,1.000000000E1
1.144736755E2,5.209897326E1,5.133305322E0,8.427391052E-1,3.670000076E0,2.144531250E1,1.000000000E1,1.000000000E1
1.154736718E2,5.209900851E1,5.133319823E0,1.217922211E0,3.670000076E0,1.757812500E1,1.000000000E1,1.000000000E1
1.164736704E2,5.209907167E1,5.133360475E0,4.216575623E-1,4.170000076E0,1.828125000E1,1.000000000E1,1.000000000E1
1.174736688E2,5.209912896E1,5.133392410E0,7.252464294E-1,3.890000105E0,8.789062500E0,1.000000000E1,1.000000000E1
1.184736676E2,5.209913751E1,5.133396769E0,1.455043793E0,3.890000105E0,1.089843750E1,1.000000000E1,1.000000000E1
1.194736662E2,5.209914346E1,5.133400289E0,1.660121918E0,9.900000095E-1,1.582031250E1,1.000000000E1,1.000000000E1
1.204736644E2,5.209915129E1,5.133419819E0,2.299098969E0,9.900000095E-1,1.582031250E1,1.000000000E1,1.000000000E1
1.214736634E2,5.209918134E1,5.133427531E0,1.893520355E0,1.740000010E0,2.074218750E1,1.000000000E1,1.000000000E1
1.224736608E2,5.209921299E1,5.133445133E0,1.402370453E0,3.029999971E0,2.320312500E1,1.000000000E1,1.000000000E1
1.234736590E2,5.209926370E1,5.133458376E0,1.276576996E0,3.029999971E0,1.441406250E1,1.000000000E1,1.000000000E1
1.244736574E2,5.209929043E1,5.133469524E0,1.256069183E0,2.799999952E0,1.652343750E1,1.000000000E1,1.000000000E1
1.254736559E2,5.209932518E1,5.133480923E0,1.373683929E0,2.799999952E0,2.109375000E1,1.000000000E1,1.000000000E1
1.264736551E2,5.209935351E1,5.133496765E0,9.319725037E-1,2.960000038E0,1.757812500E1,1.000000000E1,1.000000000E1
1.274736522E2,5.209939215E1,5.133518642E0,1.052150726E0,3.299999952E0,1.371093750E1,1.000000000E1,1.000000000E1
1.284736513E2,5.209942237E1,5.133531801E0,1.216701508E0,3.309999943E0,1.371093750E1,1.000000000E1,1.000000000E1
1.294736500E2,5.209945803E1,5.133581590E0,1.181179047E0,3.299999952E0,1.792968750E1,1.000000000E1,1.000000000E1
1.304736483E2,5.209947869E1,5.133600365E0,1.040431976E0,2.400000095E0,2.074218750E1,1.000000000E1,1.000000000E1
1.314736469E2,5.209950740E1,5.133620482E0,1.120021820E0,2.400000095E0,2.003906250E1,1.000000000E1,1.000000000E1
1.324736447E2,5.209953598E1,5.133633222E0,1.375392914E0,2.769999981E0,1.371093750E1,1.000000000E1,1.000000000E1
1.334736431E2,5.209956612E1,5.133647388E0,1.361843109E0,2.849999905E0,4.218750000E0,1.000000000E1,1.000000000E1
