"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.297602396E2,5.233659418E1,4.868400721E0,4.832424164E0,1.159999967E0,3.375000000E2,1.000000000E1,1.000000000E1
2.307602339E2,5.233660923E1,4.868397871E0,4.998683929E0,1.159999967E0,3.438281250E2,1.000000000E1,1.000000000E1
2.317602291E2,5.233661795E1,4.868396949E0,5.102260590E0,9.700000286E-1,7.031250000E-1,1.000000000E1,1.000000000E1
2.327602247E2,5.233663018E1,4.868400553E0,5.061916351E0,9.700000286E-1,1.757812500E1,1.000000000E1,1.000000000E1
2.337602197E2,5.233664280E1,4.868406588E0,5.089626312E0,6.600000262E-1,3.515625000E0,1.000000000E1,1.000000000E1
2.347602148E2,5.233665520E1,4.868417149E0,5.233974457E0,7.599999905E-1,3.867187500E1,1.000000000E1,1.000000000E1
2.357602094E2,5.233666631E1,4.868425615E0,5.218349457E0,7.599999905E-1,2.988281250E1,1.000000000E1,1.000000000E1
2.367602060E2,5.233667457E1,4.868433746E0,5.387416840E0,6.600000262E-1,5.414062500E1,1.000000000E1,1.000000000E1
2.377601999E2,5.233668052E1,4.868437685E0,5.388027191E0,5.099999905E-1,2.868750000E2,1.000000000E1,1.000000000E1
2.387601959E2,5.233669372E1,4.868436931E0,5.744899750E0,5.099999905E-1,3.571875000E2,1.000000000E1,1.000000000E1
2.397601906E2,5.233670922E1,4.868436176E0,5.817348480E0,1.340000033E0,3.575390625E2,1.000000000E1,1.000000000E1
2.407601857E2,5.233672029E1,4.868437182E0,5.563869476E0,1.340000033E0,0.000000000E0,1.000000000E1,1.000000000E1
2.417601811E2,5.233673269E1,4.868434165E0,5.734767914E0,1.250000000E0,3.529687500E2,1.000000000E1,1.000000000E1
2.427601759E2,5.233674950E1,4.868430225E0,5.688564301E0,1.250000000E0,3.473437500E2,1.000000000E1,1.000000000E1
2.437601705E2,5.233676693E1,4.868426956E0,5.806118011E0,1.539999962E0,3.526171875E2,1.000000000E1,1.000000000E1
2.447601663E2,5.233677674E1,4.868427543E0,5.343349457E0,6.299999952E-1,6.609375000E1,1.000000000E1,1.000000000E1
2.457601620E2,5.233678030E1,4.868429303E0,5.223293304E0,6.299999952E-1,7.453125000E1,1.000000000E1,1.000000000E1
2.467601564E2,5.233677699E1,4.868438942E0,5.312099457E0,6.299999952E-1,1.117968750E2,1.000000000E1,1.000000000E1
2.477601516E2,5.233677041E1,4.868453778E0,5.274318695E0,1.139999986E0,1.230468750E2,1.000000000E1,1.000000000E1
2.487601463E2,5.233677569E1,4.868470877E0,4.774562836E0,1.159999967E0,9.351562500E1,1.000000000E1,1.000000000E1
2.497601423E2,5.233678877E1,4.868485210E0,4.802761078E0,1.330000043E0,4.675781250E1,1.000000000E1,1.000000000E1
2.507601374E2,5.233680562E1,4.868489234E0,4.817348480E0,1.330000043E0,2.285156250E1,1.000000000E1,1.000000000E1
2.517601322E2,5.233682334E1,4.868486719E0,4.786952972E0,1.330000043E0,1.300781250E1,1.000000000E1,1.000000000E1
2.527601275E2,5.233684275E1,4.868479678E0,4.741725922E0,1.490000010E0,3.592968750E2,1.000000000E1,1.000000000E1
2.537601223E2,5.233686094E1,4.868471045E0,4.712978363E0,1.490000010E0,3.547265625E2,1.000000000E1,1.000000000E1
2.547601174E2,5.233687896E1,4.868461657E0,5.027065277E0,1.639999986E0,3.508593750E2,1.000000000E1,1.000000000E1
2.557601126E2,5.233689593E1,4.868455287E0,5.331752777E0,1.639999986E0,3.575390625E2,1.000000000E1,1.000000000E1
2.567601081E2,5.233691194E1,4.868451096E0,5.495449066E0,1.539999962E0,3.515625000E-1,1.000000000E1,1.000000000E1
2.577601025E2,5.233692577E1,4.868450258E0,5.461818695E0,1.529999971E0,6.679687500E0,1.000000000E1,1.000000000E1
2.587600979E2,5.233693897E1,4.868452270E0,5.464382172E0,1.389999986E0,2.777343750E1,1.000000000E1,1.000000000E1
2.597600938E2,5.233695180E1,4.868454365E0,5.582546234E0,1.429999948E0,5.273437500E0,1.000000000E1,1.000000000E1
2.607600889E2,5.233696458E1,4.868457718E0,5.616847992E0,1.440000057E0,1.019531250E1,1.000000000E1,1.000000000E1
2.617600826E2,5.233697812E1,4.868458724E0,5.820583344E0,1.440000057E0,6.328125000E0,1.000000000E1,1.000000000E1
2.627600788E2,5.233698905E1,4.868459897E0,5.986354828E0,1.440000057E0,3.304687500E1,1.000000000E1,1.000000000E1
2.637600743E2,5.233699874E1,4.868461825E0,5.867824554E0,1.230000019E0,6.328125000E0,1.000000000E1,1.000000000E1
2.647600685E2,5.233701215E1,4.868463669E0,5.648708344E0,1.490000010E0,1.160156250E1,1.000000000E1,1.000000000E1
2.657600640E2,5.233702334E1,4.868464926E0,5.470607758E0,1.490000010E0,1.652343750E1,1.000000000E1,1.000000000E1
2.667600588E2,5.233703645E1,4.868463501E0,5.351406097E0,1.490000010E0,3.515625000E0,1.000000000E1,1.000000000E1
2.677600546E2,5.233705217E1,4.868462663E0,5.280483246E0,1.519999981E0,2.812500000E0,1.000000000E1,1.000000000E1
2.687600493E2,5.233706898E1,4.868458891E0,5.430507660E0,1.539999962E0,3.557812500E2,1.000000000E1,1.000000000E1
2.697600451E2,5.233708503E1,4.868453862E0,5.645717621E0,1.549999952E0,3.554296875E2,1.000000000E1,1.000000000E1
2.707600398E2,5.233710058E1,4.868447827E0,5.705654144E0,1.620000005E0,3.522656250E2,1.000000000E1,1.000000000E1
2.717600348E2,5.233711763E1,4.868441792E0,5.700466156E0,1.620000005E0,3.536718750E2,1.000000000E1,1.000000000E1
2.727600303E2,5.233713427E1,4.868437350E0,5.683620453E0,1.620000005E0,3.526171875E2,1.000000000E1,1.000000000E1
2.737600253E2,5.233714722E1,4.868433746E0,5.478115082E0,1.500000000E0,3.522656250E2,1.000000000E1,1.000000000E1
2.747600198E2,5.233715615E1,4.868432069E0,5.684597015E0,6.100000143E-1,3.582421875E2,1.000000000E1,1.000000000E1
2.757600155E2,5.233716667E1,4.868433746E0,5.847927094E0,1.330000043E0,3.164062500E0,1.000000000E1,1.000000000E1
2.767600101E2,5.233718142E1,4.868437517E0,5.698085785E0,1.330000043E0,9.843750000E0,1.000000000E1,1.000000000E1
2.777600050E2,5.233719797E1,4.868438691E0,5.697048187E0,1.460000038E0,1.406250000E0,1.000000000E1,1.000000000E1
2.787600008E2,5.233721461E1,4.868437685E0,5.662136078E0,1.460000038E0,3.515625000E-1,1.000000000E1,1.000000000E1
2.797599963E2,5.233722924E1,4.868439026E0,5.812770844E0,1.539999962E0,2.109375000E0,1.000000000E1,1.000000000E1
2.807599908E2,5.233724240E1,4.868441289E0,5.807704926E0,1.539999962E0,2.460937500E0,1.000000000E1,1.000000000E1
2.817599862E2,5.233725438E1,4.868442547E0,5.723781586E0,1.399999976E0,4.218750000E0,1.000000000E1,1.000000000E1
2.827599808E2,5.233726712E1,4.868444810E0,5.458827972E0,1.399999976E0,1.757812500E0,1.000000000E1,1.000000000E1
2.837599766E2,5.233727936E1,4.868445983E0,5.235622406E0,1.269999981E0,1.757812500E0,1.000000000E1,1.000000000E1
2.847599709E2,5.233728871E1,4.868447995E0,5.237880707E0,8.500000238E-1,3.550781250E2,1.000000000E1,1.000000000E1
2.857599672E2,5.233730053E1,4.868450677E0,5.019741058E0,1.330000043E0,3.543750000E2,3.000000000E1,3.000000000E1
2.867599614E2,5.233730765E1,4.868463501E0,4.778530121E0,8.500000238E-1,1.089843750E1,3.000000000E1,3.000000000E1
2.877599581E2,5.233731008E1,4.868474649E0,4.491542816E0,7.900000215E-1,1.933593750E1,1.000000000E1,1.000000000E1
2.887599523E2,5.233731482E1,4.868487725E0,4.187892914E0,7.900000215E-1,1.792968750E1,1.000000000E1,1.000000000E1
2.897599469E2,5.233732475E1,4.868499711E0,4.115261078E0,1.269999981E0,3.589453125E2,1.000000000E1,1.000000000E1
2.907599419E2,5.233733627E1,4.868506165E0,3.967494965E0,1.340000033E0,3.592968750E2,1.000000000E1,1.000000000E1
2.917599380E2,5.233734705E1,4.868512200E0,3.855922699E0,1.269999981E0,3.564843750E2,1.000000000E1,1.000000000E1
2.927599326E2,5.233736041E1,4.868517900E0,3.798305511E0,1.340000033E0,3.585937500E2,3.000000000E1,3.000000000E1
2.937599274E2,5.233737450E1,4.868520750E0,3.859279633E0,1.179999948E0,3.522656250E2,1.000000000E1,1.000000000E1
2.947599229E2,5.233738778E1,4.868522678E0,3.735073090E0,1.220000029E0,3.526171875E2,3.000000000E1,3.000000000E1
2.957599182E2,5.233740128E1,4.868526198E0,3.678249359E0,1.220000029E0,3.557812500E2,1.000000000E1,1.000000000E1
2.967599134E2,5.233741511E1,4.868533658E0,3.632045746E0,1.210000038E0,1.089843750E1,3.000000000E1,3.000000000E1
