"Time (s)","X (hPa)"
3.622701650E2,1.008523865E3
3.633116780E2,1.008514252E3
3.643527970E2,1.008499374E3
3.653941420E2,1.008484802E3
3.664352530E2,1.008468246E3
3.674764480E2,1.008444901E3
3.685175700E2,1.008415070E3
3.695587460E2,1.008384857E3
3.705996450E2,1.008361282E3
3.716410260E2,1.008343277E3
3.726818700E2,1.008330078E3
3.737231650E2,1.008328247E3
3.747642890E2,1.008328247E3
3.758052370E2,1.008332062E3
3.768459900E2,1.008343582E3
3.778867670E2,1.008355713E3
3.789276460E2,1.008371506E3
3.799685340E2,1.008389435E3
3.810089950E2,1.008405838E3
3.820498310E2,1.008417969E3
3.830905490E2,1.008421173E3
3.841317160E2,1.008421173E3
3.851724470E2,1.008418198E3
3.862131050E2,1.008403549E3
3.872538330E2,1.008372955E3
3.882948320E2,1.008342896E3
3.893358190E2,1.008302460E3
3.903766530E2,1.008251801E3
3.914175000E2,1.008200302E3
3.924585870E2,1.008153458E3
3.934992470E2,1.008107300E3
3.945400900E2,1.008065186E3
3.955814080E2,1.008031998E3
3.966204260E2,1.008014526E3
3.976613280E2,1.008012924E3
3.987023630E2,1.008012924E3
3.997435430E2,1.008021927E3
4.007845190E2,1.008038864E3
4.018257830E2,1.008055191E3
4.028666240E2,1.008078995E3
4.039076780E2,1.008109970E3
4.049466990E2,1.008155136E3
4.059878180E2,1.008212204E3
4.070288420E2,1.008284683E3
4.080699910E2,1.008359299E3
4.091111090E2,1.008443527E3
4.101521370E2,1.008524094E3
4.111931730E2,1.008601151E3
4.122343190E2,1.008667374E3
4.132753930E2,1.008729248E3
4.143165920E2,1.008784790E3
4.153576260E2,1.008834000E3
4.163991680E2,1.008874969E3
4.174403720E2,1.008908844E3
4.184817790E2,1.008936615E3
4.195231960E2,1.008955841E3
4.205643230E2,1.008971329E3
4.216057650E2,1.008971329E3
4.226451220E2,1.008969955E3
4.236864570E2,1.008969955E3
4.247277210E2,1.008971176E3
4.257693260E2,1.008972855E3
4.268077530E2,1.008983307E3
4.278485060E2,1.008994522E3
4.288900550E2,1.009000015E3
4.299296780E2,1.009003754E3
4.309711350E2,1.009005966E3
4.320127650E2,1.009005966E3
4.330545980E2,1.009001999E3
4.340959730E2,1.009000702E3
4.351374210E2,1.008999863E3
4.361785910E2,1.008993683E3
4.372200220E2,1.008993530E3
4.382610530E2,1.008992767E3
4.393021980E2,1.008992767E3
4.403432850E2,1.008992767E3
4.413846240E2,1.008991928E3
4.424255010E2,1.008989182E3
4.434667670E2,1.008982544E3
4.445079480E2,1.008976364E3
