"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.343896944E2,2.592608643E0,8.204438782E-1,9.592202911E0
3.347901620E2,2.604434052E0,1.004710693E0,9.893675995E0
3.351906140E2,2.359243927E0,1.183888092E0,9.442214813E0
3.355910295E2,2.437381439E0,1.151106262E0,9.504934387E0
3.359914505E2,2.397115173E0,1.186133423E0,9.623338165E0
3.363918715E2,2.376458130E0,1.185983734E0,9.487869873E0
3.367923615E2,2.448458405E0,9.270222473E-1,9.674082642E0
3.371929055E2,2.382595367E0,1.053658905E0,9.445507965E0
3.375933564E2,2.441572723E0,1.139280853E0,9.543254700E0
3.379938084E2,2.376757507E0,1.391057281E0,9.194330292E0
3.383942604E2,2.225272522E0,1.213526459E0,9.522447968E0
3.387947505E2,2.259551239E0,1.011746063E0,9.764045563E0
3.391952325E2,2.526745605E0,9.963281250E-1,9.539362793E0
3.395956885E2,2.524500275E0,1.025367737E0,9.784253540E0
3.399961395E2,2.427501984E0,1.090632019E0,9.396410065E0
3.403966225E2,2.581232300E0,1.066382446E0,9.244176636E0
3.407971300E2,2.365830231E0,8.707392883E-1,9.574988708E0
3.411976120E2,2.336491241E0,9.916877747E-1,9.446106720E0
3.415980695E2,2.328408051E0,1.231489105E0,9.402397614E0
3.419984595E2,2.468516693E0,1.324296112E0,9.590406647E0
3.423988805E2,2.407743073E0,1.039139099E0,9.524992676E0
3.427993199E2,2.587219849E0,1.014889526E0,9.901459808E0
3.431997719E2,2.404449921E0,1.197210388E0,9.397757263E0
3.436002249E2,2.586321716E0,1.261875916E0,9.602381744E0
3.440007069E2,2.418370972E0,1.189127197E0,9.426347809E0
3.444012499E2,2.501897278E0,9.993218994E-1,9.837542725E0
3.448018082E2,2.462379456E0,9.701325989E-1,9.634415131E0
3.452023212E2,2.416275330E0,1.150208130E0,9.680668945E0
3.456028441E2,2.317929840E0,1.116378479E0,9.366472321E0
3.460032951E2,2.472857666E0,9.264234924E-1,9.965825958E0
3.464037471E2,2.160157928E0,1.080453186E0,9.123377838E0
3.468042715E2,2.569556580E0,1.346150665E0,9.501790924E0
3.472048455E2,2.497855682E0,1.126856689E0,9.414372711E0
3.476053892E2,2.542313232E0,1.213676147E0,9.878258057E0
3.480059012E2,2.538121948E0,1.239721985E0,9.526489563E0
3.484063843E2,2.526745605E0,1.401535492E0,9.727222137E0
3.488068385E2,2.470612335E0,1.158141632E0,9.574389954E0
3.492072295E2,2.279010773E0,1.063238983E0,9.588610382E0
3.496076851E2,2.449955292E0,1.209335175E0,9.524842987E0
3.500081061E2,2.390977936E0,1.353036346E0,9.523795166E0
3.504085571E2,2.517464905E0,1.568288727E0,9.398206329E0
3.508090109E2,2.759661255E0,1.247206421E0,9.770033112E0
3.512094319E2,2.400707703E0,1.132544861E0,9.624984741E0
3.516098903E2,2.355950775E0,1.207838287E0,9.658365326E0
3.520103423E2,2.354753265E0,1.090332642E0,9.562564545E0
3.524107942E2,2.687211914E0,1.404229889E0,9.586664429E0
3.528112218E2,1.804198151E0,1.579066315E0,9.074130249E0
3.532116728E2,2.411784668E0,1.285676422E0,9.469158783E0
3.536120977E2,2.272574158E0,9.346563721E-1,9.798473969E0
3.540124877E2,2.469564514E0,8.774752808E-1,9.697434082E0
3.544129087E2,2.432890778E0,9.767189026E-1,9.623188477E0
3.548133477E2,2.511477356E0,1.369801483E0,9.585167542E0
3.552137697E2,2.565964050E0,1.125509491E0,9.859097900E0
3.556141451E2,2.146835632E0,1.193019104E0,9.272467804E0
3.560145661E2,2.836301880E0,8.773255920E-1,9.495204620E0
3.564149881E2,3.181484070E0,6.665638733E-1,1.058493851E1
3.568154229E2,2.626887360E0,1.167721710E0,9.774823151E0
3.572158129E2,1.975142670E0,1.341061249E0,9.609566803E0
3.576162506E2,2.404449921E0,1.309177551E0,9.578880615E0
3.580166416E2,2.642005920E0,8.348139954E-1,9.665251007E0
3.584170626E2,2.254910889E0,7.406597900E-1,1.004082001E1
3.588174910E2,2.485880585E0,1.017284546E0,9.715396729E0
3.592179120E2,2.260898438E0,1.008752289E0,9.524244232E0
3.596183640E2,2.347568207E0,1.254241791E0,9.663754120E0
3.600188160E2,2.351310425E0,1.198258209E0,9.454040222E0
3.604192670E2,2.592309265E0,1.181044006E0,9.483678589E0
3.608197415E2,2.311044159E0,1.082848206E0,9.686506805E0
3.612201625E2,2.304158478E0,1.025966492E0,9.504784698E0
3.616206028E2,2.545007629E0,1.058898010E0,9.888436890E0
3.620209938E2,2.452649689E0,1.153650970E0,9.564660187E0
3.624214148E2,2.393822021E0,1.107995911E0,9.309740295E0
3.628218444E2,2.400258636E0,7.635621643E-1,9.600735168E0
3.632222954E2,2.420167236E0,5.703140259E-1,9.607471161E0
3.636227304E2,2.334994354E0,8.300239563E-1,9.744436340E0
3.640231204E2,2.409689026E0,9.608518982E-1,9.744885406E0
3.644236024E2,2.474204865E0,1.082848206E0,9.665251007E0
3.648240634E2,2.364333344E0,8.720864868E-1,9.358239441E0
3.652245154E2,2.479294281E0,4.656816101E-1,9.898765411E0
3.656249780E2,2.264940033E0,6.164181519E-1,9.358538818E0
3.660254610E2,2.940036163E0,9.788145447E-1,9.777667236E0
3.664259430E2,2.333048401E0,1.196461945E0,9.496851196E0
3.668264474E2,2.456242218E0,9.589059448E-1,9.770482178E0
3.672269294E2,2.044897614E0,8.671467590E-1,9.223669281E0
3.676273830E2,2.446362762E0,8.430468750E-1,9.765991516E0
3.680278340E2,2.558329926E0,8.472381592E-1,9.449399872E0
3.684282860E2,2.560425568E0,9.261241150E-1,9.496851196E0
3.688287428E2,2.223326569E0,8.881031799E-1,9.533375244E0
3.692292248E2,2.484533386E0,1.015039215E0,9.551637268E0
3.696296415E2,2.551593933E0,9.017248535E-1,9.597891083E0
3.700300625E2,2.313439178E0,9.828561401E-1,9.718540192E0
3.704305755E2,2.258204041E0,9.578581238E-1,9.427844696E0
3.708310113E2,2.537074127E0,9.430389404E-1,9.797126770E0
3.712314323E2,2.274819489E0,1.062939606E0,9.323511658E0
3.716318303E2,2.618654480E0,9.098080444E-1,9.654772797E0
3.720322512E2,2.450554047E0,7.559280396E-1,9.731712799E0
3.724326722E2,2.100581818E0,6.321354675E-1,9.574988708E0
3.728330692E2,2.366878052E0,1.089883575E0,9.434281311E0
3.732334902E2,2.248923340E0,8.560697937E-1,9.001830597E0
3.736339417E2,2.550246735E0,9.059161377E-1,9.986033936E0
3.740343628E2,2.375559998E0,7.268884277E-1,9.377399597E0
3.744347537E2,2.409689026E0,8.316705322E-1,9.815688171E0
3.748352459E2,2.416275330E0,7.831713867E-1,9.584568787E0
3.752357279E2,2.459385681E0,9.264234924E-1,9.664801941E0
3.756362155E2,2.369572449E0,7.445516968E-1,9.495054932E0
3.760366675E2,2.332150269E0,7.909552002E-1,9.790989532E0
3.764370275E2,2.431693268E0,7.143145752E-1,9.608818359E0
3.768373432E2,2.265239410E0,8.836125183E-1,9.404044189E0
3.772377332E2,2.608325958E0,1.033899994E0,9.666448517E0
3.776381169E2,2.377955017E0,7.798782349E-1,9.580078125E0
3.780384159E2,2.430495758E0,6.355783081E-1,9.629774780E0
3.784387459E2,2.545307007E0,7.723937988E-1,9.692644043E0
3.788391186E2,2.628084869E0,8.846603394E-1,9.538165283E0
3.792394176E2,2.633024597E0,8.038284302E-1,1.001312759E1
3.796397219E2,2.322270813E0,8.295748901E-1,9.521250458E0
3.800400519E2,2.467169495E0,7.195536804E-1,9.762398987E0
3.804403199E2,2.216740265E0,6.361770630E-1,9.750872955E0
3.808406349E2,2.666405182E0,8.714877319E-1,9.589209137E0
3.812409639E2,2.550695801E0,1.010698242E0,1.008482849E1
3.816413189E2,3.020269318E0,8.872050476E-1,8.914562073E0
3.820416179E2,2.373164978E0,3.951782227E-1,9.678423615E0
3.824418259E2,2.316283264E0,1.854643250E-1,9.728120270E0
3.828420892E2,2.405647430E0,1.117126923E0,9.509275360E0
