"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.591684781E2,-5.620811462E-1,3.134481812E-1,6.120472412E0
1.595698274E2,-3.911366272E-1,5.343887329E-2,8.416847076E0
1.599711634E2,1.755249939E0,4.514761505E0,1.310030777E1
1.603725270E2,-1.527274017E0,4.462969208E0,8.566086731E0
1.607738640E2,-2.110610962E-1,2.133962402E0,4.769531708E0
1.611752620E2,-1.192270660E0,2.928659821E0,8.989107056E0
1.615766674E2,-4.652475128E0,5.056185608E0,1.298983749E1
1.619780344E2,-7.409591675E-1,3.046464844E0,1.173155411E1
1.623794429E2,-7.572752380E-1,2.825224915E0,5.184768219E0
1.627808109E2,-2.199226685E0,2.393522644E0,7.201374664E0
1.631821469E2,3.974235535E-1,4.805007935E-2,1.296409103E1
1.635834949E2,-2.609074402E-1,3.888164520E0,1.258492950E1
1.639848629E2,-2.301164703E0,2.453847198E0,1.108879074E1
1.643862476E2,-1.651216278E0,1.312470703E0,5.106630707E0
1.647875846E2,-1.423539734E0,2.046244812E-1,7.334298248E0
1.651889516E2,-3.433709564E0,2.099683685E0,1.628912659E1
1.655902951E2,-2.471211090E0,3.982318726E0,1.285377045E1
1.659916631E2,-7.676037598E-1,2.417772217E0,6.016289062E0
1.663930037E2,-9.729766846E-2,9.533674622E-1,6.427034912E0
1.667944318E2,-3.426524506E0,4.541555786E-1,1.259196487E1
1.671958298E2,-3.004851379E0,7.743397522E-1,1.487591537E1
1.675971731E2,-1.325044556E0,3.403622131E0,5.370232544E0
1.679985101E2,-5.553451538E-2,1.623823242E0,5.209766235E0
1.683998534E2,1.405128021E0,-3.757186890E-2,7.398514709E0
1.688012204E2,-6.288423157E-1,2.753224640E0,1.369576950E1
1.692026184E2,-4.525090027E-1,2.137704620E0,8.918753357E0
1.696039711E2,-2.475851440E-1,9.306147766E-1,4.736749878E0
1.700053081E2,-2.326312408E0,2.115700378E0,8.546776886E0
1.704066268E2,1.166374512E0,5.906267853E0,1.277907578E1
1.708079627E2,-5.722599792E-1,4.026177521E0,9.454489288E0
1.712092998E2,7.207511902E-1,1.719773712E0,5.039270782E0
1.716106603E2,1.735041962E0,2.658172302E0,6.181844788E0
1.720120272E2,-2.626587982E0,3.670517120E0,1.352617218E1
1.724133789E2,-1.181942139E0,4.472848663E0,1.036983582E1
1.728147459E2,-5.830375671E-1,2.708916779E0,6.473139038E0
1.732161129E2,-3.353027344E-1,1.752555542E0,7.345375214E0
1.736175025E2,-1.213077393E0,4.607718201E0,1.259166550E1
1.740188695E2,-1.551523590E0,4.576582947E0,1.116932327E1
1.744202380E2,-8.232879639E-3,2.564916229E0,5.782624969E0
1.748216060E2,-4.677772522E-1,1.238674164E0,8.894054718E0
1.752229730E2,-3.423530731E0,4.287683716E0,1.457638824E1
1.756243542E2,-3.673361206E-1,4.528682556E0,9.634714508E0
1.760257212E2,-3.269201660E-1,1.998793488E0,4.855453033E0
1.764270628E2,-1.869911499E0,9.162446594E-1,8.848249969E0
1.768283998E2,-2.020947418E0,3.158881073E0,1.601908813E1
1.772296748E2,-1.675316162E0,4.709805908E0,1.123653351E1
1.776309660E2,-4.176315308E-1,3.435805206E0,4.637506256E0
1.780323030E2,-1.372046814E0,1.631906433E0,6.988367615E0
1.784336037E2,-4.581223297E0,1.572779388E0,1.363559464E1
1.788348787E2,-2.124082947E0,5.628595276E0,1.181073944E1
1.792361547E2,-1.212328949E0,4.844226379E0,4.885390778E0
1.796375337E2,-1.275198212E0,3.284469910E0,5.337001648E0
1.800388698E2,7.393125916E-1,1.560804291E0,8.806636505E0
1.804401538E2,-1.964215393E0,6.159541168E0,1.220561829E1
1.808414297E2,-1.291663971E0,4.317172394E0,7.335795135E0
1.812426747E2,-5.800437927E-1,2.330503693E0,4.790637817E0
1.816439266E2,-1.523531799E0,1.174757080E0,9.631271667E0
1.820452016E2,1.271455994E0,5.388045502E0,1.385683456E1
1.824464590E2,-1.768123169E0,3.011886749E0,1.217987183E1
1.828477350E2,1.645079041E-1,2.606380005E0,3.327430573E0
1.832490100E2,-8.502319336E-2,8.325686646E-1,7.234605560E0
1.836503426E2,-5.788163452E0,6.840325470E0,1.084030746E1
1.840516186E2,-3.540737000E0,5.275329895E0,1.210802124E1
1.844528715E2,-3.936813354E-1,2.193688202E0,5.072651367E0
1.848541465E2,-1.720372467E0,1.392853546E0,7.322622528E0
1.852553915E2,-2.505190430E0,2.468965759E0,1.528411652E1
1.856566507E2,-6.837780762E-1,1.986069946E0,1.189501419E1
1.860578957E2,8.312214661E-1,1.704954529E0,4.221072235E0
1.864590678E2,2.237846375E-1,-4.581971741E-1,8.785979462E0
1.868602817E2,-2.829116821E0,-9.783654785E-1,1.616413651E1
1.872614967E2,-4.668791199E-1,3.300636292E-1,1.224693237E1
1.876627379E2,-6.818321228E-1,1.783092041E0,7.896229706E0
1.880639519E2,-4.468208313E-1,1.673370209E0,5.900729370E0
1.884651809E2,7.875123596E-1,-3.194357300E-1,1.146316223E1
1.888663959E2,-2.579735413E0,3.362457733E0,1.261381943E1
1.892676409E2,-5.180726624E-1,3.016676788E0,5.930517426E0
1.896689162E2,2.314187622E-1,-3.049159241E-1,6.404282227E0
1.900701612E2,1.173559570E-1,-1.861977997E0,1.240096207E1
1.904714027E2,6.496490479E-2,1.853745117E0,1.353036346E1
1.908726477E2,-1.927391968E0,3.988156586E0,6.683601379E0
1.912738317E2,-2.149530029E-1,2.108365631E0,5.891897736E0
1.916750456E2,-1.997745667E0,3.601959686E0,1.028122009E1
1.920762596E2,-3.931424561E0,6.210135956E0,1.137918686E1
1.924774505E2,-2.467618561E0,4.450994110E0,5.692662048E0
1.928786345E2,-4.234693909E-1,1.094074860E0,7.298073578E0
1.932798495E2,-2.047741699E0,-5.520520020E-1,1.180729660E1
1.936810354E2,-1.997595978E0,5.160518646E0,1.282667679E1
1.940822194E2,-2.112107849E0,3.804338837E0,7.750582581E0
1.944834004E2,-1.939965820E-1,2.479144592E0,4.385879517E0
1.948846154E2,1.714384918E0,5.794450378E-1,7.062014465E0
1.952857994E2,-3.157683563E0,4.127965851E0,1.433404221E1
1.956869639E2,-6.592291260E-1,2.066303101E0,8.395890656E0
1.960881479E2,-2.332150269E-1,6.577322388E-1,5.684728546E0
1.964893431E2,-3.473826141E0,3.156935120E-1,8.835975494E0
1.968905271E2,-2.750829620E0,4.204905853E0,1.440050400E1
1.972917111E2,-1.975142670E0,3.067421265E0,7.945028229E0
1.976928895E2,-3.079096985E-1,2.284249878E0,4.512216797E0
1.980940735E2,-2.037263489E-1,5.935157776E-1,7.325616302E0
1.984952332E2,-5.104385376E0,3.436104584E0,1.511421982E1
1.988964472E2,-1.660047913E0,3.617527313E0,9.976004791E0
1.992975702E2,-8.458909607E-1,1.811682587E0,6.095923462E0
1.996987115E2,-4.501139832E0,1.625619507E0,8.038583679E0
2.000998645E2,-4.164340210E0,2.423610077E0,1.495540009E1
2.005010260E2,-2.227667542E0,1.795965271E0,1.025083328E1
2.009021490E2,-7.035369873E-2,2.272125092E0,4.193230133E0
2.013032720E2,-1.352138214E0,4.851411438E-1,7.862849121E0
2.017044339E2,-5.999224548E0,-6.189628601E-1,1.562570618E1
2.021055869E2,-2.252066803E0,3.524720306E0,1.223899887E1
2.025067465E2,-1.300944672E0,2.952310638E0,6.688092041E0
2.029078995E2,-5.727090454E-1,2.433639221E0,4.990771637E0
2.033090835E2,6.728507996E-1,3.097059631E-1,1.022987686E1
2.037102225E2,-4.117637329E0,2.454895020E0,1.363439713E1
2.041113755E2,-2.318977661E0,2.827021179E0,7.900720367E0
2.045125444E2,-1.603914642E0,-7.439529419E-2,6.999145203E0
2.049136674E2,-2.516267395E0,-1.395098877E0,1.031355286E1
2.053148214E2,-7.463479614E-1,1.470242615E0,1.599648514E1
2.057159218E2,-8.743318176E-1,2.741848297E0,7.417225800E0
2.061170748E2,-2.160008240E-1,1.047970734E0,5.565576324E0
2.065182670E2,-1.664688263E0,1.910028076E-1,6.593189392E0
2.069194210E2,-7.415878601E0,-8.286767578E-1,1.637459885E1
2.073206050E2,-3.683240662E0,2.265838165E0,9.482481079E0
2.077217941E2,-1.202599182E0,1.826052704E0,4.954097900E0
2.081229481E2,-3.447031860E0,3.136727142E0,8.220305786E0
2.085241129E2,-2.628234558E0,6.147416382E0,1.378513367E1
2.089252359E2,-3.282673645E0,4.874313812E0,9.940079498E0
2.093263589E2,-4.897814941E-1,2.890489197E0,4.140240326E0
2.097274475E2,-1.193917236E0,5.554948425E-1,7.450905762E0
2.101285705E2,-5.601351929E0,8.780740356E-1,1.485989868E1
2.105296511E2,-2.424657898E0,4.653972015E0,1.365879639E1
2.109307741E2,-1.004261627E0,3.208877106E0,4.322411499E0
2.113318981E2,-1.360520782E0,2.402354279E0,4.500690765E0
2.117330735E2,-9.337582397E-1,7.917036438E-1,1.043569885E1
2.121342575E2,-4.255051575E0,4.877457275E0,1.217777618E1
2.125354759E2,-1.472188568E0,3.282224579E0,6.874454498E0
2.129366899E2,-1.019080811E0,1.731299744E0,4.902155914E0
2.133378129E2,-3.047662354E0,1.389710083E0,1.086081482E1
2.137389502E2,-1.649420013E0,5.043312378E0,1.368065094E1
2.141400732E2,-2.266137543E0,4.519701233E0,6.046376495E0
2.145412380E2,-2.933898926E-1,2.527793427E0,4.429139557E0
2.149423610E2,1.028361511E-1,4.246669006E-1,9.206305389E0
2.153434673E2,-1.566342773E0,5.684429169E0,1.294687683E1
2.157445903E2,-3.833528137E-1,2.506238251E0,8.718769226E0
2.161457133E2,-1.330732727E-1,7.183561707E-1,5.731431427E0
2.165468775E2,-1.734592896E0,-1.969903564E-1,9.693691864E0
2.169480005E2,-8.800199890E-1,3.395538940E0,1.364502502E1
2.173491045E2,-1.817370758E0,3.025358734E0,1.050979477E1
2.177502275E2,-7.923023987E-1,2.826272736E0,4.868176575E0
2.181513815E2,6.249504089E-1,2.299518127E0,7.824229431E0
2.185524944E2,-3.479664001E0,4.614304504E0,1.236758148E1
2.189536474E2,-1.999841309E-1,2.683619385E0,1.234662506E1
2.193548077E2,-1.707948303E-1,2.012564850E0,4.914729767E0
2.197559607E2,-1.399439850E0,1.756597137E0,7.213050385E0
2.201571447E2,-2.830464020E0,2.659968567E0,1.498788254E1
2.205583975E2,-4.154760132E0,1.615440674E0,1.292981232E1
2.209596125E2,-1.475631409E0,2.813848572E0,6.488556976E0
2.213608149E2,-5.135820007E-1,4.468208313E-1,5.921685791E0
2.217620289E2,-4.047583008E0,-4.706213379E-1,1.141960281E1
2.221631829E2,-2.637964325E0,3.057990875E0,1.468670883E1
2.225644088E2,-5.304968262E-1,3.011287994E0,6.097270660E0
2.229655628E2,1.631607056E-1,1.520238647E0,5.395380249E0
2.233667579E2,5.701643372E-1,2.785707092E-1,1.042462189E1
2.237679119E2,-2.307900696E0,3.932023315E0,1.371822281E1
2.241690649E2,-9.743238831E-1,3.142415314E0,7.361391907E0
2.245702295E2,-1.682501221E-1,1.364412689E0,5.609285431E0
2.249714135E2,-3.190615082E0,-2.559677124E-2,1.090467361E1
2.253726021E2,-1.692829742E0,5.227130127E0,1.426922699E1
2.257738171E2,-1.589245148E0,3.551065521E0,6.243965607E0
